isin,symbol,date,monthly_volume,oil_price_usd_bbl,oil_return_1m_pct,oil_return_12m_pct,gold_price_inr_10g,gold_return_1m_pct,gold_return_12m_pct,cpi_index,cpi_inflation_yoy_pct,stock_return_1m,momentum_3m,momentum_6m,momentum_12m,volatility_3m,volatility_6m,volume_change_1m,target_return_1m
INE062A01020,SBIN,2021-09-01,408763525.0,78.5199966430664,1.4142685396136612,91.7460199759716,41943.03055049416,-1.5588820817872495,-6.4032686267538335,163.2,4.35,-1.6676250718803964,0.42079150158462,10.43119067023612,82.93302653561396,2.860366730527889,10.476779280496212,-33.999723862366984,4.912280701754379
INE062A01020,SBIN,2021-10-01,453980329.0,84.37999725341797,7.4630678309752785,125.25360201728851,42877.33294917349,2.2275510052964576,-4.3463503213617365,165.5,4.48,4.912280701754379,6.6826790956631275,22.27842289646746,100.09308075025939,3.452927293807323,9.5944262101978,11.061849023833513,13.377926421404673
INE062A01020,SBIN,2021-11-01,482271634.0,70.56999969482422,-16.366435183824745,58.12234152327969,42798.22852454904,-0.1844900771188817,-4.1884110493113695,166.7,4.91,13.377926421404673,16.62258205127866,40.57884197564354,110.69026014051853,7.542445858579753,9.2009130488623,6.231834992128049,-8.662731129394041
INE062A01020,SBIN,2021-12-01,327157896.0,77.77999877929688,10.216804755068544,50.15444000942924,43732.41468764488,2.18276829509425,-1.752953779271782,166.2,5.66,-8.662731129394041,9.627475993765016,10.048267495349638,74.55614301210369,11.118593203414088,7.453010110489918,-32.16314770857952,-0.527508266258625
INE062A01020,SBIN,2022-01-01,379249051.0,91.20999908447266,17.266650187645062,63.22476260029366,43305.450543520754,-0.9763104717031568,0.0108702781778546,165.7,6.01,-0.527508266258625,4.187687025752011,10.870366121415142,61.82455560442287,11.145503952695703,7.3936111350710805,15.92232852603992,17.7380978803098
INE062A01020,SBIN,2022-02-01,460319999.0,100.98999786376952,10.722507266159798,52.71435363404584,45841.87274517398,5.857050717216761,12.11114696455291,166.1,6.07,17.7380978803098,8.547858484657139,25.170440535935803,75.85220880175748,13.520465914889066,9.902018342574994,21.376704249155786,-12.124278100379971
INE062A01020,SBIN,2022-03-01,470848484.0,107.91000366210938,6.85216946699474,69.83003164505665,47519.94094923516,3.660557703192513,17.425031820646208,167.7,6.95,-12.124278100379971,5.086311513671209,14.71378750743623,25.144978177672336,15.054782948170905,11.865717323603292,2.2872099893274545,2.7196652719665204
INE062A01020,SBIN,2022-04-01,274734230.0,109.33999633789062,1.3251715570864686,62.58735514927973,47014.47893967967,-1.0636840018287683,11.654979028770974,170.1,7.79,2.7196652719665204,8.333485051896353,12.52117207764837,34.79959497411582,14.931272953462797,11.808428749157606,-41.65124464964827,0.33604763675851856
INE062A01020,SBIN,2022-05-01,368134331.0,112.0749969482422,2.501372509561506,60.95792240281999,46388.99354629888,-1.3304101363822318,4.761001377218177,171.7,7.04,0.33604763675851856,-9.06856519165493,-0.5207067069977844,40.05813526864574,7.9716581853871595,10.434785377935423,33.99652857235882,-5.003551040673271
INE062A01020,SBIN,2022-06-01,258464165.0,114.80999755859376,2.4403307471109192,52.81512279487084,45763.50815291808,-1.3483487042169284,8.203773793011159,172.6,7.01,-5.003551040673271,-1.9478381319482283,3.138473381722987,13.186740877072609,3.9547654224309494,9.927938979118267,-29.79080101062348,-0.9935884394197347
